cozy,/ˈkoʊ.zi/,acogedor
messy,/ˈmes.i/,confuso
tacky,/ˈtæk.i/,pegajoso
faint,/feɪnt/,débil
dim,/dɪm/,oscuro
hazy,/ˈheɪ.zi/,brumoso
numb,/nʌm/,entumecido
unearthly,/ʌnˈɝːθ.li/,sobrenatural
thick,/θɪk/,grueso
wretched,/ˈretʃ.ɪd/,miserable
frightened,/ˈfraɪ.tənd/,asustado
jagged,/ˈdʒæɡ.ɪd/,dentado
pale,/peɪl/,pálido
haunted,/ˈhɑːn.t̬ɪd/,obsesionado
tinged,/tɪndʒd/,teñido
puzzled,/ˈpʌz.əld/,perplejo
scratchy,/ˈskrætʃ.i/,chirriante
smooth,/smuːð/,suave
dull,/dʌl/,aburrido
wicked,/ˈwɪk.ɪd/,cruel|malvado
stuffed,/stʌft/,relleno
eager,/ˈiː.ɡɚ/,ansioso
blistering,/ˈblɪs.tɚ.ɪŋ/,abrasador
pitiless,/ˈpɪt̬.i.ləs/,despiadado
swift,/swɪft/,rápido
narrow,/ˈner.oʊ/,angosto
chill,/tʃɪl/,frío
grumpy,/ˈɡrʌm.pi/,gruñon
sham,/ʃæm/,impostor
bashful,/ˈbæʃ.fəl/,tímido
liar,/ˈlaɪ.ɚ/,mentiroso
rightful,/ˈraɪt.fəl/,lejítimo
proven,/ˈpruː.vən/,probado
weird,/wɪrd/,extraño|raro
stumpy,/ˈstʌm.pi/,achaparrado
fabled,/ˈfeɪ.bəld/,legendario
widespread,/ˌwaɪdˈspred/,extendido
rotten,/ˈrɑː.tən/,podrido
hind,/haɪnd/,posterior|trasero
bald,/bɔld/,calvo
strained|taut,/streɪnd/|/tɑːt/,tenso
revolting,/rɪˈvoʊl·tɪŋ/,asqueroso|repugnante
silly,/ˈsɪl·i/,tonto|bobo
wise,/wɑɪz/,sabio
glum,/ɡlʌm/,sombrío
stiff,/stɪf/,rígido|duro|tieso
moldy,/ˈmoʊl.di/,mohoso
filthy,/ˈfɪl.θi/,inmundo
damp,/dæmp/,húmedo
dizzy,/ˈdizi/,mareado|vertiginoso
naughty,/ˈnɔ·t̬i/,travieso|picardía
odd,/ɑd/,raro|extraño|esporádico|sin pareja
shabby,/ˈʃæb.i/,gastado|muy usado
rusty,/ˈrʌs·ti/,oxidado
stubborn,/ˈstʌb·ərn/,testarudo|tercamente|terquedad
cheeky,/ˈtʃi·ki/,descarado
rough,/rʌf/,áspero|rugoso
ripe,/rɑɪp/,maduro|en su punto
sudden,/ˈsʌd·ən/,repentino|súbito|de repente
picturesque,/ˌpɪk·tʃərˈesk/,pintoresco
childish,/ˈtʃɑɪl·dɪʃ/,infantil
conscious,/ˈkɑn·ʃəs/,consciente
lean,/liːn/,delgado|flaco|magro|malo|escaso|pobre
fond,/fɑnd/,tenerle cariño a alguien/ser aficionado a algo
mild,/maild/,apacible|afable|dulce|ligero|leve|benigno|suave|templado
thrilled,/θrɪld/,emocionado|entusiasmado
prompt,/prɑmpt/,rápido
brief,/brif/,breve
misleading,/mɪsˈli·dɪŋ/,engañoso
jealous,/ˈdʒel·əs/,celoso|envidioso|con envidia
shallow,/ˈʃæl·oʊ/,poco profundo|superficial
encouraging,/ɪnˈkɜr·ɪdʒ·ɪŋ/,alentador|esperanzador
vacant,/ˈveɪ·kənt/,libre|vacío|vacante|ausente
nasty,/ˈnaːsti/,asqueroso|desagradable|repugnante|malo|feo|grave|peligroso|difícil
greedy,/ˈɡri·di/,avaricioso|con avaricia|avaricia
certain,/ˈsɜr·t̬ən/,seguro
superb,/sʊˈpɜrb/,magnífico|magníficamente
irritated,/ˈɪr·ɪˌteɪ·t̬ɪd/,molesto
pessimistic,/ˌpes·əˈmɪs·tɪk/,pesimista
clumsy,/ˈklʌm·zi/,torpe
bumper,/ˈbʌm·pər/,abundante|excepcional
striking,/ˈstrɑɪ·kɪŋ/,llamativo|despampanante
thorough,/ˈθɜr·oʊ/,detallado|minucioso
compulsory,/kəmˈpʌl·sər·i/,obligatorio
tough,/tʌf/,difícil|duro|resistente|fuerte
modest,/ˈmɑ·dɪst/,modesto|modestamente
dreadful,/ˈdred·fəl/,espantoso
unwilling,/ʌnˈwɪl·ɪŋ/,reacio|de mala gana
steady,/ˈsted·i/,gradual|seguro|firme|constante
unbearable,/ʌnˈbeər·ə·bəl/,insoportable|insoportablemente
fancy,/ˈfӕnsi/,elegante|sofisticado
cautious,/ˈkɔ·ʃəs/,cauteloso
raw,/rɔ/,crudo|puro
bare,/ber/,desnudo
posh,/pɑʃ/,de lujo|pijo
stormy,/ˈstɔr·mi/,tormentoso|acalorado
witty,/ˈwɪt̬·i/,ingenioso
leading,/ˈli·dɪŋ/,importante|destacado
slight,/slɑɪt/,ligero|leve|delgado|menudo
cunning,/ˈkaniŋ/,astuto|ingenioso
sober,/ˈsoʊ·bər/,sobrio|sobriamente
woeful,/ˈwəʊ.fəl/,lamentable|afligido
thy,/ðai/,vuestro|vuestra|vuestros|vuestras
leftover,/ˈlefˌt̬oʊ.vɚ/,sobrante|sobras|restos
